id	filename	md5	size	state
00a92589-6683-4500-9c24-58869820e41b	6ca74d98-86ba-43a9-bd85-f8a097202ce9.rna_seq.augmented_star_gene_counts.tsv	921efa55f1c8277a59acbb3409b7e8d1	4225167	validated
00b9f60c-9de0-4edd-8ec4-8582a615c226	6ddc8f58-2c55-46da-a59e-b5081e6e2063.rna_seq.augmented_star_gene_counts.tsv	61ab18ebb2acdce1609e1d2f6280e3fb	4245850	validated
025e4db8-0685-41b5-ab41-cb779890296b	0ab8f315-bca0-43f8-8027-3f8ea94b371c.rna_seq.augmented_star_gene_counts.tsv	3b3cc594044092e28811de7711138824	4238648	validated
02b1a443-745c-4b45-bcad-de47d535f8d9	fc08da88-0292-4bc2-b1a1-3052ee6f1358.rna_seq.augmented_star_gene_counts.tsv	234985728904b283693f8fb47377bc25	4221239	validated
02cf6a27-378c-4c13-bf88-667aef7e36c3	765b2b7c-4365-4998-97e6-24da6b76bc51.rna_seq.augmented_star_gene_counts.tsv	d9b902137dd2bc9f6a48ebbb0d810c11	4230976	validated
02fe497b-25f6-40f8-9256-e0fedcbe9e95	47b0ec16-d440-4400-991f-81793639324f.rna_seq.augmented_star_gene_counts.tsv	baed9469e862d44396fde3402543147d	4230979	validated
031a3e84-11e6-452f-b593-b1a1534978ce	035d78f3-db08-46a3-a202-1b3bebd1b4f0.rna_seq.augmented_star_gene_counts.tsv	d00510aed7ee5b08787fd67291126bad	4213666	validated
034d84a7-9f94-4bcf-88f4-e4d5c47bc0d8	c8468f07-8fb7-491e-921d-702810c25656.rna_seq.augmented_star_gene_counts.tsv	b25afd7c2f649d4c89be49888dcc34a9	4226929	validated
03576427-0b1e-473b-a691-75ceea9d945c	405f682f-93c7-4211-8364-2d81918c46bd.rna_seq.augmented_star_gene_counts.tsv	724a8a8c92cde74d013003715d8888b4	4230972	validated
03dc3c08-c876-492c-8e19-b1227d238aee	2e9bc79f-3864-4ce7-9341-9c17891248dc.rna_seq.augmented_star_gene_counts.tsv	cf8d58fd37a22525fcdba706c3f7d51d	4239782	validated
04377025-2149-426e-afe1-0c5d99971cee	be916353-6343-4854-a34d-9fdce62bab9d.rna_seq.augmented_star_gene_counts.tsv	e8d25ed1d8e2de605c7c0479a52fb728	4240971	validated
04e474d6-06df-4bee-8e24-d2b82c623047	9695a2fd-3ce1-4fbf-924c-267664f14745.rna_seq.augmented_star_gene_counts.tsv	1c54674094489a9d35b9f35c4c432470	4230688	validated
050fe1aa-e157-49d5-87a6-3a924202db9d	422d25fd-6ec6-4dff-8ace-36a2405a417e.rna_seq.augmented_star_gene_counts.tsv	d332a0a263848128750844534985023a	4231430	validated
0545b5c3-1dfb-4e0e-b956-97ba018a1406	9b4b6b42-09e1-4783-b374-532b9df2e207.rna_seq.augmented_star_gene_counts.tsv	dd9461803344d9aea23a5413df47bb4e	4240704	validated
060aaf03-5c79-4678-a65c-c7d0cc2098e3	912e2235-a667-44eb-94f1-74b4e560baf3.rna_seq.augmented_star_gene_counts.tsv	f69066596d9af1ac38a2861caf4d3b6a	4219538	validated
06853a17-c3e8-42dd-800f-529366a4170a	54d7da4f-61b3-463a-9520-ad91fa54ee3c.rna_seq.augmented_star_gene_counts.tsv	10c24fbc8dcd7b27e87410d1423e418b	4234614	validated
068976c6-8b97-4abd-b87f-4f453050285d	2135e2ae-4afd-47df-947b-008e3adfa687.rna_seq.augmented_star_gene_counts.tsv	47ce24e83cb6fc739e1a244ff53fe114	4230029	validated
06b116f9-cd37-4156-8032-c5d34b2d34fb	35c40966-c556-4848-8738-bca58081217c.rna_seq.augmented_star_gene_counts.tsv	6a7d32692f07663a165c95c785fa0995	4234989	validated
06e1708b-900a-49a2-81f4-e4443fefbf5c	ed4b7d24-ec7e-41cc-a6cc-86120f5c11d6.rna_seq.augmented_star_gene_counts.tsv	c8dcdf0071d5487ebdc399ac3444ab1d	4216767	validated
070d8faa-9c6e-4a68-bc6b-e6333941232a	2c2a734b-33a2-499f-b364-ae77fca5abcc.rna_seq.augmented_star_gene_counts.tsv	4489f7a010d8b9e734282c063205fc3e	4240760	validated
0739727d-44c9-439b-922e-874828e7f88f	c824c993-b307-4017-9dc4-4dd37b33e5ba.rna_seq.augmented_star_gene_counts.tsv	70b6e0c1a5ecff15833b74f936dfce34	4232239	validated
0758a891-b175-4ad6-8f2f-6668f757c37e	23eeb87c-f362-429c-bc8d-dc7e9d9761a8.rna_seq.augmented_star_gene_counts.tsv	24bdbf607d54f7d1f9379686660020d5	4234605	validated
07a9f4e3-baca-46c7-aaaa-174b54683883	e639308c-2adb-4a18-9cf8-a3df9b0fb0d7.rna_seq.augmented_star_gene_counts.tsv	0a15da92728633b2a4a3ff23f391a059	4228212	validated
09536549-1ea8-4f30-aa4f-626000a0d7ed	1f4f9117-a498-4e4e-a566-ab3b93983521.rna_seq.augmented_star_gene_counts.tsv	bcb668fc9a8cbeeda5fd96119c4dfe19	4248354	validated
0997ec63-6fe0-40fb-b0ff-3ddcb14ec7d2	b7effa07-1b05-412a-a1ef-54d52d795c90.rna_seq.augmented_star_gene_counts.tsv	0deaf24e2b09fb507d40ed8cad1878f7	4243377	validated
09b68eb6-0e45-4a1c-8cff-8d8858da94b8	04adac60-d23f-4813-b722-009e4c21487e.rna_seq.augmented_star_gene_counts.tsv	9f5f38590b541a6498269745a1c3a104	4232854	validated
09cd8793-96af-4ab5-bc44-5ab5f5d1ac70	ba75b55b-c4f7-4cfe-97d7-8adf57f646ae.rna_seq.augmented_star_gene_counts.tsv	ddff10db8ade63b799b13a0f10793b6a	4240741	validated
09d93479-0186-4de5-830d-3e2a4236ac35	14b6c3f0-9c15-41ec-a71f-7cb88b6d5433.rna_seq.augmented_star_gene_counts.tsv	3c4383b3cd0acdf02540d9160cbfb20e	4238463	validated
0a0755f1-fa52-4c84-96bc-5867013db780	7cb7f0b8-d36d-42d5-bf4a-f88aa7fc2bf6.rna_seq.augmented_star_gene_counts.tsv	20471080c8ebda4b2cbcfcde18a7fcfc	4245195	validated
0a47e941-f82c-4373-9c3b-042889ca5412	ced9db0e-74ff-434c-baf6-aec17cb60794.rna_seq.augmented_star_gene_counts.tsv	0bccd069cdc9930879924393fc7acb9e	4256395	validated
0b7990e5-9649-48bc-9d89-d1aa19084ee2	ffeda85e-d195-4340-88ca-6baf3d2830f8.rna_seq.augmented_star_gene_counts.tsv	9a105a7ea324a46998bca9d40dae9310	4229980	validated
0c9134db-6d91-4ce9-80cd-abeb400b8cd1	d75759ae-3040-4b99-9a90-b691fa0d497c.rna_seq.augmented_star_gene_counts.tsv	5d94283d1799753b83ad102ae7308ed9	4234866	validated
0ce95bee-0c0b-4f29-982f-d94dc269c355	89f2f554-2f35-480d-9f6e-2b28bb3f81cf.rna_seq.augmented_star_gene_counts.tsv	a69cd263f91d81b1bd0fa7d23a27a538	4230439	validated
0dc88eb5-7930-41df-9740-3fc55f71822a	e77c8936-fef6-4053-8477-05f4ee8bb9f2.rna_seq.augmented_star_gene_counts.tsv	81620d4d7f7be7e04439a4d244ed2e1e	4230181	validated
0effee03-c6d7-45b6-8740-99add36d7bd2	155e6d67-2aa5-4a49-8859-123f23097162.rna_seq.augmented_star_gene_counts.tsv	d64c4c5b9cceeb421fd2694437fd31ed	4228352	validated
0f88742e-ebfe-4d72-9720-5b5db9057b79	b0c81966-4fbe-4da1-8b34-136b2de095c5.rna_seq.augmented_star_gene_counts.tsv	22da0dbbcc408b8eaae158ba58b66cdc	4231269	validated
0f9c0fdd-33ff-455b-8e55-6bd8881cdaa2	6fa6b2d5-33bd-4bfb-8f45-3969b64c36ee.rna_seq.augmented_star_gene_counts.tsv	da4028d21f2b481a90087096553ff60a	4229788	validated
104467e9-4e35-4123-ab36-98a03517901f	3bcb649b-1b7f-437c-ba83-8265b3a196f4.rna_seq.augmented_star_gene_counts.tsv	a2581b44a6c2d81bc29686643b00a913	4251014	validated
106d67a3-4847-425b-a151-4e92d0e82e69	94fdb121-b644-41c0-9552-3473e3e4fe9b.rna_seq.augmented_star_gene_counts.tsv	b8a23c15823e4c83c860971668caa496	4236224	validated
1159248e-76b8-4081-a8fa-66e30b688c60	faee6e8a-b1e0-4c8d-863e-06b86964ae76.rna_seq.augmented_star_gene_counts.tsv	fdbb65de0bc0e78637c3c8a144ce9ef9	4234931	validated
11592ecd-1023-489a-a367-d37f7e6e3b90	5c0438ae-eb68-4613-bb06-1254a28f4570.rna_seq.augmented_star_gene_counts.tsv	c4fe501ae9060cc314fca52cb17c5f28	4214738	validated
11bb1416-a269-4efe-bb46-65e6c6335260	39719133-93be-4d44-b151-42942a4a29d0.rna_seq.augmented_star_gene_counts.tsv	9f55bdaac7f2fbd874c28e4bf1cf7e40	4233164	validated
11e07160-6ff4-4572-bdee-39a717cdc5f4	c90eb28f-fac3-4c6c-bebf-456d0fe6e248.rna_seq.augmented_star_gene_counts.tsv	3ec708ef1dcea9ce0df0b2ca41e8a496	4229929	validated
